[#508] Amadeus (1984): Drama, DVD, English, <http://www.imdb.com/title/tt0086879/>
[#75] Amelie (2001): Comedy, DVD, English, <http://us.imdb.com/Title?0211915>
[#59] American Beauty (1999): Drama, DVD, English, <http://us.imdb.com/Title?0169547>
[#1104] American Gangster (2007): Drama, DVD, English, <http://www.imdb.com/title/tt0765429/>
[#9] American History X (1998): Drama, DVD, English, <http://us.imdb.com/Title?0120586>
[#381] American Pie (1999): Comedy, DVD, English, <http://www.imdb.com/title/tt0163651/>
[#380] American Pie 2 (2001): Comedy, DVD, English, <http://www.imdb.com/title/tt0252866/>
[#379] American Wedding (2003): Comedy, DVD, English, <http://www.imdb.com/title/tt0328828/>
[#25] Amores Perros (2001): Drama, DVD, Spanish, <http://us.imdb.com/Title?0245712>
[#785] An Inconvenient Truth (2006): Documentary, DVD, English, <http://www.imdb.com/title/tt0497116/>
[#482] Anchorman: The Legend of Ron Burgundy (2004): Comedy, DVD, English, <http://www.imdb.com/title/tt0357413/>
[#1389] Angels and Demons (2009): Action, DVD, English, <http://www.imdb.com/title/tt0808151/>
[#702] Anger Management (2003): Comedy, DVD, English, <http://www.imdb.com/title/tt0305224/>
[#113] Annie Hall (1977): Drama, DVD, English, <http://us.imdb.com/Title?0075686>
[#1385] Anvil (2008): Comedy, DVD, English, <http://www.imdb.com/title/tt1157605/>
[#602] Any Given Sunday (1999): Drama, DVD, English, <http://www.imdb.com/title/tt0146838/>
[#94] Apocalypse Now (1980): Drama, DVD, English, <http://us.imdb.com/Title?0078788>
[#371] Apollo 13 (1995): Drama, DVD, English, <http://www.imdb.com/title/tt0112384/>
[#1062] Aqua Teen Hunger Force - Season 1 - Disc 1 (2000): Television, DVD, English, <http://www.imdb.com/title/tt0297494/>
[#1063] Aqua Teen Hunger Force - Season 1 - Disc 2 (2000): Television, DVD, English, <http://www.imdb.com/title/tt0297494/>
[#1064] Aqua Teen Hunger Force - Season 2- Disc 1 (2000): Television, DVD, English, <http://www.imdb.com/title/tt0297494/>
[#1065] Aqua Teen Hunger Force - Season 2- Disc 2 (2000): Television, DVD, English, <http://www.imdb.com/title/tt0297494/>
[#1066] Aqua Teen Hunger Force - Season 3- Disc 1 (2000): Television, DVD, English, <http://www.imdb.com/title/tt0297494/>
[#1067] Aqua Teen Hunger Force - Season 3- Disc 2 (2000): Television, DVD, English, <http://www.imdb.com/title/tt0297494/>
[#672] Ararat (2002): Drama, DVD, English, <http://www.imdb.com/title/tt0273435/>
[#1123] Arrested Development - Season 1 - Disc 1 (2003): Television, DVD, English, <http://www.imdb.com/title/tt0367279/>
[#1124] Arrested Development - Season 1 - Disc 2 (2003): Television, DVD, English, <http://www.imdb.com/title/tt0367279/>
[#1125] Arrested Development - Season 1 - Disc 3 (2003): Television, DVD, English, <http://www.imdb.com/title/tt0367279/>
[#1126] Arrested Development - Season 2- Disc 1 (2003): Television, DVD, English, <http://www.imdb.com/title/tt0367279/>
[#1127] Arrested Development - Season 2- Disc 2 (2003): Television, DVD, English, <http://www.imdb.com/title/tt0367279/>
[#1128] Arrested Development - Season 2- Disc 3 (2003): Television, DVD, English, <http://www.imdb.com/title/tt0367279/>
[#1129] Arrested Development - Season 3- Disc 1 (2003): Television, DVD, English, <http://www.imdb.com/title/tt0367279/>
[#1130] Arrested Development - Season 3- Disc 2 (2003): Television, DVD, English, <http://www.imdb.com/title/tt0367279/>
[#112] Art of Survival, The (1995): Documentary, VHS, English, <>
[#257] As Good As It Gets (1997): Comedy, DVD, English, <http://www.imdb.com/title/tt0119822/>
[#732] Assault on Precinct 13 (2005): Drama, DVD, English, <http://www.imdb.com/title/tt0398712/>
[#562] Asterix & Obelix: Mission Cleopatra (2002): Comedy, DVD, French, <http://www.imdb.com/title/tt0250223/>
[#1012] Atonement (2007): Drama, DVD, English, <http://www.imdb.com/title/tt0783233/>
[#377] Auberge espagnole, L' (2002): Comedy, DVD, French, <http://www.imdb.com/title/tt0283900/>
[#1112] August Rush (2007): Romance, DVD, English, <http://www.imdb.com/title/tt0426931/>
[#168] Austin Powers Goldmember (2002): Comedy, DVD, English, <http://us.imdb.com/Title?0295178>
[#166] Austin Powers International Man of Mystery (1999): Comedy, DVD, English, <http://us.imdb.com/Title?0118655>
[#167] Austin Powers the Spy Who Shagged Me (2001): Comedy, DVD, English, <http://us.imdb.com/Title?0145660>
[#549] Aviator, The (2004): Drama, DVD, English, <http://www.imdb.com/title/tt0338751/>
[#233] Awful Truth, The - First Season Disc One (1998): Documentary, DVD, English, <http://us.imdb.com/Title?0190171>
[#234] Awful Truth, The - First Season Disc Two (1998): Documentary, DVD, English, <http://us.imdb.com/Title?0190171>
[#235] Awful Truth, The - Second Season Disc One (1998): Documentary, DVD, English, <http://us.imdb.com/Title?0190171>
[#236] Awful Truth, The - Second Season Disc Two (1998): Documentary, DVD, English, <http://us.imdb.com/Title?0190171>
[#822] Babel (2006): Drama, DVD, English, <http://www.imdb.com/title/tt0449467/>
[#1218] Baby Mama (2008): Comedy, DVD, English, <http://www.imdb.com/title/tt0871426/>
[#781] Back to the Future - Complete Trilogy (1985): Action, DVD, English, <http://www.imdb.com/title/tt0088763/>
[#1346] Bamako (2006): Drama, DVD, English, <http://www.imdb.com/title/tt0814666/>
[#582] Band of Brothers - Disc 1 (2001): Drama, DVD, English, <http://www.imdb.com/title/tt0185906/>
[#583] Band of Brothers - Disc 2 (2001): Drama, DVD, English, <http://www.imdb.com/title/tt0185906/>
[#584] Band of Brothers - Disc 3 (2001): Drama, DVD, English, <http://www.imdb.com/title/tt0185906/>
[#585] Band of Brothers - Disc 4 (2001): Drama, DVD, English, <http://www.imdb.com/title/tt0185906/>
[#586] Band of Brothers - Disc 5 (2001): Drama, DVD, English, <http://www.imdb.com/title/tt0185906/>
